,issn,issn_alt,context_name,journal_url,gcld3_code,language,discipline
4095,2476-8871,2615-1081,I-Finance: a Research Journal on Islamic Finance,http://jurnal.radenfatah.ac.id/index.php/I-Finance,en,English,"Commerce, Management, Tourism and Services"
4096,2549-4260,,"Jurnal Ilmu Agama: Mengkaji Doktrin, Pemikiran, dan Fenomena Agama",http://jurnal.radenfatah.ac.id/index.php/JIA,en,English,Philosophy and Religious Studies
4097,2621-9492,,Jurnal Komunikasi Islam dan Kehumasan (JKPI),http://jurnal.radenfatah.ac.id/index.php/JKPI,en,English,Studies in Human Society
4098,2460-9102,,Nurani: Jurnal Kajian Syari'ah dan Masyarakat,http://jurnal.radenfatah.ac.id/index.php/Nurani,en,English,Studies in Human Society
4099,2775-4707,,Spiritual Healing : Jurnal Tasawuf dan Psikoterapi,http://jurnal.radenfatah.ac.id/index.php/SH,id,Indonesian,Psychology and Cognitive Sciences
4100,2477-5436,2549-6433,Tadrib,http://jurnal.radenfatah.ac.id/index.php/Tadrib,en,English,"Language, Communication and Culture"
4101,2527-9807,2621-1157,Taqdir,http://jurnal.radenfatah.ac.id/index.php/Taqdir,id,Indonesian,Engineering and Technology
4102,2580-9881,,ALKIMIA : Jurnal Ilmu Kimia dan Terapan,http://jurnal.radenfatah.ac.id/index.php/alkimia,en,English,Engineering and Technology
4103,2460-7746,2528-262X,Jurnal Biota,http://jurnal.radenfatah.ac.id/index.php/biota,en,English,Biological Sciences
4104,1412-2545,2622-7304,Conciencia,http://jurnal.radenfatah.ac.id/index.php/conciencia,en,English,Education
4105,2355-3669,2503-2518,Edukasi: Jurnal Pendidikan dan Pengajaran,http://jurnal.radenfatah.ac.id/index.php/edukasi,en,English,Education
4106,2621-8283,,Ghaidan: Jurnal Bimbingan Konseling Islam dan Kemasyarakatan,http://jurnal.radenfatah.ac.id/index.php/ghaidan,id,Indonesian,Studies in Human Society
4107,2548-561X,,I-ECONOMICS: A Research Journal on Islamic Economics,http://jurnal.radenfatah.ac.id/index.php/ieconomics,en,English,"Commerce, Management, Tourism and Services"
4108,2303-2952,2622-8491,"Jurnal Intelektualita: Keislaman, Sosial dan Sains",http://jurnal.radenfatah.ac.id/index.php/intelektualita,id,Indonesian,Information and Computing Sciences
4109,1412-1697,2477-3816,Intizar,http://jurnal.radenfatah.ac.id/index.php/intizar,id,Indonesian,Studies in Human Society
4110,2549-6158,,JIFP (Jurnal Ilmu Fisika dan Pembelajarannya),http://jurnal.radenfatah.ac.id/index.php/jifp,id,Indonesian,Earth and Environmental Sciences
4111,2527-2764,2527-4589,JIP (Jurnal Ilmiah PGMI),http://jurnal.radenfatah.ac.id/index.php/jip,id,Indonesian,Education
4112,2460-8726,,Jurnal Pendidikan Matematika RAFA,http://jurnal.radenfatah.ac.id/index.php/jpmrafa,id,Indonesian,Education
4113,2655-9439,,Jurnal Studi Agama,http://jurnal.radenfatah.ac.id/index.php/jsa,en,English,Philosophy and Religious Studies
4114,2597-8764,,Jurnal Studi Sosial dan Politik,http://jurnal.radenfatah.ac.id/index.php/jssp,en,English,Studies in Human Society
4115,2623-1662,,JUSIFO (Jurnal Sistem Informasi),http://jurnal.radenfatah.ac.id/index.php/jusifo,id,Indonesian,"Commerce, Management, Tourism and Services"
4116,2623-0178,,Medina-Te : Jurnal Studi Islam,http://jurnal.radenfatah.ac.id/index.php/medinate,en,English,Law and Legal Studies
4117,2722-9572,,Muaddib: Islamic Education Journal,http://jurnal.radenfatah.ac.id/index.php/muaddib,en,English,Education
4118,2598-0858,,Orbital: Jurnal Pendidikan Kimia,http://jurnal.radenfatah.ac.id/index.php/orbital,en,English,Studies in Human Society
4119,2656-0712,,Jurnal PAI Raden Fatah,http://jurnal.radenfatah.ac.id/index.php/pairf,en,English,Education
4120,2502-728X,2549-6468,Psikis : Jurnal Psikologi Islami,http://jurnal.radenfatah.ac.id/index.php/psikis,en,English,Education
4121,2654-9476,,Raudhatul Athfal: Jurnal Pendidikan Islam Anak Usia Dini,http://jurnal.radenfatah.ac.id/index.php/raudhatulathfal,id,Indonesian,Education
4122,2715-596X,,Studia Manageria,http://jurnal.radenfatah.ac.id/index.php/studiamanageria,id,Indonesian,Information and Computing Sciences
4123,2443-2512,,Ta'dib: Jurnal Pendidikan Islam,http://jurnal.radenfatah.ac.id/index.php/tadib,en,English,Education
4124,2723-2409,,TADWIN : Jurnal Ilmu Perpustakaan dan Informasi,http://jurnal.radenfatah.ac.id/index.php/tadwin,id,Indonesian,Medical and Health Sciences
4125,1412-9027,2622-531X,Tamaddun: Jurnal Kebudayaan dan Sastra Islam,http://jurnal.radenfatah.ac.id/index.php/tamaddun,en,English,Studies in Human Society
4126,2774-5392,,Tanjak: Sejarah dan Peradaban Islam,http://jurnal.radenfatah.ac.id/index.php/tanjak,en,English,History and Archaeology
4127,1412-3711,2503-3050,Wardah,http://jurnal.radenfatah.ac.id/index.php/warda,en,English,Studies in Human Society
4128,2723-0481,2723-049X,Yonetim: Jurnal Manajemen Dakwah,http://jurnal.radenfatah.ac.id/index.php/yonetim,en,English,Studies in Human Society
4129,2715-6443,,Jurnal Ilmiah Kesehatan Jiwa,http://jurnal.rs-amino.jatengprov.go.id/index.php/JIKJ,id,Indonesian,Medical and Health Sciences
4130,2774-2172,,Blended Learning,http://jurnal.sman1gedeg.sch.id/index.php/blendedlearning,id,Indonesian,Education
4131,2549-7928,2621-1017,Purwadita : Jurnal Agama dan Budaya,http://jurnal.stahnmpukuturan.ac.id/index.php/Purwadita,en,English,Education
4132,2621-1025,2654-4903,"Maha Widya Bhuwana: Jurnal Pendidikan, Agama dan Budaya",http://jurnal.stahnmpukuturan.ac.id/index.php/bhuwana,en,English,Studies in Human Society
4133,2715-5447,,Vidya Darśan: Jurnal Mahasiswa Filsafat Hindu,http://jurnal.stahnmpukuturan.ac.id/index.php/darsan,en,English,Philosophy and Religious Studies
4134,2598-0203,2746-7066,"Maha Widya Duta: Jurnal Penerangan Agama, Pariwisata Budaya, dan Ilmu Komunikasi",http://jurnal.stahnmpukuturan.ac.id/index.php/duta,en,English,History and Archaeology
4135,2722-6638,,Haridracarya: Jurnal Pendidikan Agama Hindu,http://jurnal.stahnmpukuturan.ac.id/index.php/haridracarya,id,Indonesian,Education
4136,2598-2850,,PARIKSA: Jurnal Hukum Agama Hindu,http://jurnal.stahnmpukuturan.ac.id/index.php/pariksa,en,English,"Commerce, Management, Tourism and Services"
4137,2088-9593,2774-3748,Jurnal Al-Fawa'id : Jurnal Agama dan Bahasa,http://jurnal.stai-ali.ac.id/index.php/Alfawaid,id,Indonesian,Information and Computing Sciences
4138,2655-9528,,Jurnal Pendidikan dan Keislaman Ar-Risalah,http://jurnal.stai-mifda.ac.id/index.php/ar,en,English,Education
4139,2356-1866,2614-8838,Ad-Deenar: Jurnal Ekonomi dan Bisnis Islam,http://jurnal.staialhidayahbogor.ac.id/index.php/ad,id,Indonesian,Economics
4140,2406-9582,2581-2564,Al - Tadabbur: Jurnal Ilmu Al-Qur'an dan Tafsir,http://jurnal.staialhidayahbogor.ac.id/index.php/alt,id,Indonesian,Philosophy and Religious Studies
4141,2339-2800,2581-2556,Al-Mashlahah Jurnal Hukum Islam dan Pranata Sosial,http://jurnal.staialhidayahbogor.ac.id/index.php/am,id,Indonesian,Studies in Human Society
4142,2252-8970,2581-1754,Edukasi Islami: Jurnal Pendidikan Islam,http://jurnal.staialhidayahbogor.ac.id/index.php/ei,en,English,Education
4143,2614-4018,2614-8846,Islamic Management: Jurnal Manajemen Pendidikan Islam,http://jurnal.staialhidayahbogor.ac.id/index.php/jim,en,English,Education
4144,2655-2736,2655-5255,At-Tarbiyat :Jurnal Pendidikan Islam,http://jurnal.staiannawawi.com/index.php/At-Tarbiyat,en,English,Education
4145,2684-9437,,An-Nawa: Jurnal Studi Islam,http://jurnal.staiannawawi.com/index.php/annawa,id,Indonesian,Economics
4146,2716-1307,,AL MAARIF : JURNAL PENDIDIKAN ISLAM,http://jurnal.staigrobogan.ac.id/index.php/am,id,Indonesian,Education
4147,2622-2094,,Al-Intifa' : Jurnal Ilmiah Ilmu Syariah,http://jurnal.staisabili.net/index.php/Alintifa,id,Indonesian,"Commerce, Management, Tourism and Services"
4148,2620-6021,,At-Tarbiyah,http://jurnal.staisabili.net/index.php/At-Tarbiyah,id,Indonesian,Education
4149,2721-0731,,"Al-Muttaqin : Jurnal Studi, Sosial, dan Ekonomi",http://jurnal.staisam.ac.id/index.php/almuttaqin,en,English,"Commerce, Management, Tourism and Services"
4150,2746-5454,2746-5462,Jurnal Bilqolam Pendidikan Islam,http://jurnal.staiserdanglubukpakam.ac.id/index.php/bilqolam,en,English,Education
4151,2723-3847,2723-388X,Fitrah: Journal of Islamic Education,http://jurnal.staisumatera-medan.ac.id/index.php/fitrah,en,English,Education
4152,2655-3090,,MUDHARABAH,http://jurnal.staitapaktuan.ac.id/index.php/mudharabah,id,Indonesian,Economics
4153,2721-6039,,APOLONIUS : Jurnal Teologi dan Pendidikan Kristen,http://jurnal.stakam.ac.id/index.php/apolonius,id,Indonesian,Education
4154,2716-2362,,"JABE (Jurnal Akuntansi, Bisnis dan Ekonomi)",http://jurnal.stas.ac.id/index.php/jabe,id,Indonesian,"Commerce, Management, Tourism and Services"
4155,1693-0029,,Limen,http://jurnal.stft-fajartimur.ac.id/index.php/lim,en,English,Philosophy and Religious Studies
4156,0853-2516,2620-7451,Majalah Ilmiah Dian Ilmu,http://jurnal.stiapembangunanjember.ac.id/index.php/dianilmu,id,Indonesian,"Commerce, Management, Tourism and Services"
4157,2656-8977,,Majalah Ilmiah Pelita Ilmu,http://jurnal.stiapembangunanjember.ac.id/index.php/pelitailmu,id,Indonesian,Studies in Human Society
4158,1858-084X,,ADMINISTRATOR,http://jurnal.stiapembangunanpalu.ac.id/index.php/ADMINISTRATOR,en,English,Studies in Human Society
4159,2656-1328,2656-310X,Jurnal Administrasi Sosial dan Humaniora,http://jurnal.stiasetihsetio.ac.id/index.php/admngr,id,Indonesian,"Commerce, Management, Tourism and Services"
4160,2550-1054,,Jurnal PubBis,http://jurnal.stiatabalong.ac.id/index.php/PubBis,id,Indonesian,"Commerce, Management, Tourism and Services"
4161,2355-8903,,Invada Elite,http://jurnal.stibainvada.ac.id/index.php/Elite,en,English,"Language, Communication and Culture"
4162,2746-2439,2774-1664,"ABM : International Journal of Administration, Business and Management",http://jurnal.stie-mandala.ac.id/index.php/abm,en,English,"Commerce, Management, Tourism and Services"
4163,2745-3898,,JAKUMA : JURNAL AKUNTANSI DAN MANAJEMEN KEUANGAN,http://jurnal.stie-mandala.ac.id/index.php/jakuma,en,English,"Commerce, Management, Tourism and Services"
4164,2615-0352,,MBA - Journal of Management and Business Aplication,http://jurnal.stie-mandala.ac.id/index.php/mba,en,English,Education
4165,2774-2229,,JMBI : Jurnal Manajemen Bisnis dan Informatika,http://jurnal.stie-mandala.ac.id/index.php/prodimanajemen,id,Indonesian,"Commerce, Management, Tourism and Services"
4166,0216-2431,2502-9525,RELASI : JURNAL EKONOMI,http://jurnal.stie-mandala.ac.id/index.php/relasi,en,English,"Commerce, Management, Tourism and Services"
4167,1907-2376,,Kajian Ekonomi dan Bisnis,http://jurnal.stie-sbi.ac.id/index.php/jurnal,en,English,"Commerce, Management, Tourism and Services"
4168,2085-773X,2746-1173,Anindyaguna Ekonobisnis : Jurnal Ekonomi dan Bisnis STIE Anindyaguna,http://jurnal.stieanindyaguna.ac.id/index.php/+++++,en,English,"Commerce, Management, Tourism and Services"
4169,2597-7474,,Jurnal Managemen dan bisnis Visioner,http://jurnal.stiebalikpapan.ac.id/index.php/jmbv,en,English,Economics
4170,2685-3698,,ECONBANK: Journal of Economics and Banking,http://jurnal.stiebankbpdjateng.ac.id/jurnal/index.php/econbank,en,English,"Commerce, Management, Tourism and Services"
4171,2337-778X,2685-1504,Magisma: Jurnal Ilmiah Ekonomi dan Bisnis,http://jurnal.stiebankbpdjateng.ac.id/jurnal/index.php/magisma,id,Indonesian,"Commerce, Management, Tourism and Services"
4172,2548-5237,,Jurnal Akademika,http://jurnal.stieimalang.ac.id/index.php/JAK,en,English,"Commerce, Management, Tourism and Services"
4173,2621-3230,,JAMIN : Jurnal Aplikasi Manajemen dan Inovasi Bisnis,http://jurnal.stiekma.ac.id/index.php/JAMIN,en,English,Economics
4174,1693-5748,2623-291X,JURNAL EKONOMI,http://jurnal.stiemuhcilacap.ac.id/index.php/je511,en,English,"Commerce, Management, Tourism and Services"
4175,2580-7994,,Jurnal Ekonomi Dan Bisnis STIE Nias Selatan,http://jurnal.stienisel.ac.id/index.php/JEB,id,Indonesian,"Commerce, Management, Tourism and Services"
4176,2622-9803,,Balance: Jurnal Riset Akuntansi dan Bisinis,http://jurnal.stienisel.ac.id/index.php/balance,id,Indonesian,"Commerce, Management, Tourism and Services"
4177,2622-9811,,Pareto: Jurnal Riset Bisnis dan Manajemen,http://jurnal.stienisel.ac.id/index.php/pareto,id,Indonesian,Engineering and Technology
4178,2684-8147,,Media Akuntansi,http://jurnal.stiepignatelli.ac.id/index.php/mak,en,English,"Commerce, Management, Tourism and Services"
4179,2355-0465,2598-3008,SI-MEN (Akuntansi dan Manajemen) STIES,http://jurnal.stiesabang.ac.id/index.php/simen,id,Indonesian,"Commerce, Management, Tourism and Services"
4180,2086-3748,2656-4440,Jurnal Ilmu Manajemen dan Akuntansi Terapan (JIMAT),http://jurnal.stietotalwin.ac.id/index.php/jimat,en,English,"Commerce, Management, Tourism and Services"
4181,2715-5552,,Jurnal Ilmiah Pengabdian Kepada Masyarakat (PAKEM),http://jurnal.stietotalwin.ac.id/index.php/pakem,en,English,Studies in Human Society
4182,1979-8865,2716-1676,PARAMETER,http://jurnal.stietribuana.ac.id/index.php/parameter,id,Indonesian,"Commerce, Management, Tourism and Services"
4183,0854-4530,2622-173X,Kajian Bisnis Sekolah Tinggi Ilmu Ekonomi Widya Wiwaha,http://jurnal.stieww.ac.id/index.php/jkb,en,English,"Commerce, Management, Tourism and Services"
4184,2355-9381,2621-492X,Jurnal Riset Manajemen Sekolah Tinggi Ilmu Ekonomi Widya Wiwaha Program Magister Manajemen,http://jurnal.stieww.ac.id/index.php/jrm,en,English,"Commerce, Management, Tourism and Services"
4185,2621-4148,,Prima Ekonomika,http://jurnal.stieykp.ac.id/index.php/prima-ekonomika,id,Indonesian,Medical and Health Sciences
4186,2620-5564,2655-1292,Indonesian Trust Health Journal,http://jurnal.stikes-murniteguh.ac.id/index.php/ithj,id,Indonesian,Medical and Health Sciences
4187,2548-3943,2655-8688,Journal of Health Science and Physiotherapy,http://jurnal.stikes-sitihajar.ac.id/index.php/jhsp,id,Indonesian,Engineering and Technology
4188,2406-8071,2615-8566,Jurnal Ilmiah Pharmacy,http://jurnal.stikesalfatah.ac.id/index.php/jiphar,id,Indonesian,Medical and Health Sciences
4189,2503-1392,2620-5424,Cendekia Medika,http://jurnal.stikesalmaarif.ac.id/index.php/cendekia_medika,id,Indonesian,Medical and Health Sciences
4190,2338-7947,2502-0439,Jurnal Kesehatan,http://jurnal.stikesbethesda.ac.id/index.php/jurnalkesehatan,id,Indonesian,Medical and Health Sciences
4191,2620-5955,,Jurnal Kesehatan Mandiri Aktif,http://jurnal.stikesbp.ac.id/index.php/jkma,id,Indonesian,Medical and Health Sciences
4192,1978-8479,2581-0111,"Jurnal Kesehatan Budi Luhur : Jurnal Ilmu-Ilmu Kesehatan Masyarakat, Keperawatan, dan Kebidanan",http://jurnal.stikesbudiluhurcimahi.ac.id/index.php/jkbl,id,Indonesian,Medical and Health Sciences
4193,2087-4154,2774-8669,Jurnal Ilmu Kebidanan dan Kesehatan (Journal of Midwifery Science and Health),http://jurnal.stikesbup.ac.id/index.php/jks,id,Indonesian,Medical and Health Sciences
4194,2338-6347,2580-992X,JKM (Jurnal Kesehatan Masyarakat) Cendekia Utama,http://jurnal.stikescendekiautamakudus.ac.id/index.php/JKM,id,Indonesian,Medical and Health Sciences
4195,2252-8865,2598-4217,Jurnal Keperawatan dan Kesehatan Masyarakat Cendekia Utama,http://jurnal.stikescendekiautamakudus.ac.id/index.php/stikes,id,Indonesian,Medical and Health Sciences
4196,2721-9518,,Jurnal Kesehatan,http://jurnal.stikescirebon.ac.id/index.php/kesehatan,id,Indonesian,Medical and Health Sciences
4197,2599-0098,,Jurnal Humanis ( Jurnal Pengabdian Masyarakat STIKes ICsada Bojonegoro),http://jurnal.stikesicsada.ac.id/index.php/Humanis,id,Indonesian,Medical and Health Sciences
4198,2549-9327,,Jurnal Ilmu Kesehatan MAKIA,http://jurnal.stikesicsada.ac.id/index.php/jmakia,id,Indonesian,Engineering and Technology
4199,2747-1942,,Journal of Indah Science and Clinic,http://jurnal.stikesindah.ac.id/index.php/jisk,en,English,Biological Sciences
4200,2580-2666,,JURNAL KEPERAWATAN FLORENCE,http://jurnal.stikeskendedes.ac.id/index.php/JKF,id,Indonesian,Medical and Health Sciences
4201,2502-9282,,Kendedes Midwifery Journal,http://jurnal.stikeskendedes.ac.id/index.php/KMJ,id,Indonesian,Medical and Health Sciences
4202,2549-0532,2623-2553,Jurnal Kebidanan Mutiara Mahakam,http://jurnal.stikesmm.ac.id/index.php/jkmm,en,English,Medical and Health Sciences
4203,2622-9595,2623-0097,Indonesian Journal of Community Dedication,http://jurnal.stikesnh.ac.id/index.php/community,id,Indonesian,Medical and Health Sciences
4204,2302-1721,,Jurnal Ilmiah Kesehatan Diagnosis,http://jurnal.stikesnh.ac.id/index.php/jikd,id,Indonesian,Studies in Human Society
4205,2654-3532,2654-3540,Nursing Inside Community,http://jurnal.stikesnh.ac.id/index.php/nic,id,Indonesian,Medical and Health Sciences
4206,2654-8364,2684-7361,Journal of Pharmaceutical Care Anwar Medika (J-PhAM),http://jurnal.stikesrsanwarmedika.ac.id/index.php/jpcam,id,Indonesian,Medical and Health Sciences
4207,2302-9471,2715-1255,Jurnal Kebidanan,http://jurnal.stikeswilliambooth.ac.id/index.php/Keb,id,Indonesian,Medical and Health Sciences
4208,2747-0326,2775-1945,Jurnal Pengabdian Masyarakat,http://jurnal.stikeswilliambooth.ac.id/index.php/pengabmas,id,Indonesian,Medical and Health Sciences
4209,2722-5623,,Jurnal Ners Nurul Hasanah,http://jurnal.stikesynh.ac.id/index.php/jnnh,id,Indonesian,Medical and Health Sciences
4210,2303-1425,2580-720X,J-INTECH,http://jurnal.stiki.ac.id/J-INTECH,id,Indonesian,Information and Computing Sciences
4211,2656-9221,,MAVIS : Jurnal Desain Komunikasi Visual,http://jurnal.stiki.ac.id/MAVIS,en,English,Studies in Human Society
4212,2087-0256,2580-6939,SMATIKA JURNAL,http://jurnal.stiki.ac.id/SMATIKA,id,Indonesian,Engineering and Technology
4213,2541-075X,,Jurnal Administrasi dan Kesekretarisan,http://jurnal.stiks-tarakanita.ac.id/index.php/JAK,id,Indonesian,"Commerce, Management, Tourism and Services"
4214,2598-2443,,Jurnal Ilmu Komunikasi dan Bisnis,http://jurnal.stiks-tarakanita.ac.id/index.php/JIK,id,Indonesian,"Commerce, Management, Tourism and Services"
4215,2720-9423,,Jurnal Karya untuk Masyarakat (JKuM),http://jurnal.stiks-tarakanita.ac.id/index.php/JKuM,id,Indonesian,Information and Computing Sciences
4216,2721-2580,,Jurnal Al-Dirayah,http://jurnal.stiqlathifiyyah.ac.id/index.php/dirayah,en,English,Philosophy and Religious Studies
4217,2722-2268,2722-2276,Al Mashaadir : Jurnal Ilmu Syariah,http://jurnal.stisummulayman.ac.id/index.php/almashaadir,en,English,Law and Legal Studies
4218,2598-800X,2615-2401,Jurnal Al-Fatih,http://jurnal.stit-al-ittihadiyahlabura.ac.id/index.php/alfatih,en,English,Biological Sciences
4219,2721-0561,,Jurnal Bunayya,http://jurnal.stit-al-ittihadiyahlabura.ac.id/index.php/bunayya,en,English,"Commerce, Management, Tourism and Services"
4220,2477-023X,,"JURNAL STUDI ISLAM ""AL-FIKRAH""",http://jurnal.stit-almuslihuun.ac.id/index.php/jurnal,en,English,Education
4221,2685-1148,,Al Amin: Jurnal Kajian Ilmu dan Budaya Islam,http://jurnal.stitalamin.ac.id/index.php/alamin,en,English,Education
4222,2746-5934,,TARQIYAH: Jurnal Pendidikan dan Literasi,http://jurnal.stitmas.ac.id/index.php/tarqiyah,id,Indonesian,Psychology and Cognitive Sciences
4223,2598-893X,,"JEBDEER: Journal of Entrepreneurship, Business Development and Economic Educations Research",http://jurnal.stitradenwijaya.ac.id/index.php/jbr,en,English,Economics
4224,2579-9673,,Progressa: Journal of Islamic Religious Instruction,http://jurnal.stitradenwijaya.ac.id/index.php/pgr,en,English,Psychology and Cognitive Sciences
4225,2088-9100,,"Dirasat | Jurnal Ilmu Al-Qur'an, Tafsir dan Studi Keislaman",http://jurnal.stiudialhikmah.ac.id/index.php/dirasat,id,Indonesian,"Commerce, Management, Tourism and Services"
4226,2548-9461,,Jurnal Ilmiah Bahasa Inggris (JIBI),http://jurnal.stkipan-nur.ac.id/index.php/jibi,en,English,Education
4227,2548-9976,,Jurnal Ilmiah Pendidikan Anak (JIPA),http://jurnal.stkipan-nur.ac.id/index.php/jipa,id,Indonesian,Education
4228,2599-2511,2685-0524,EDU SOCIATA (Jurnal Pendidikan Sosiologi),http://jurnal.stkipbima.ac.id/index.php/ES,id,Indonesian,"Language, Communication and Culture"
4229,2599-3143,2685-2586,GRAVITY EDU : Jurnal Pembelajaran dan Pengajaran Fisika,http://jurnal.stkipbima.ac.id/index.php/GE,id,Indonesian,Education
4230,2089-3205,2599-1337,ORYZA (Jurnal Pendidikan Biologi),http://jurnal.stkipbima.ac.id/index.php/OZ,id,Indonesian,Education
4231,2614-6002,,Jurnal PenKomi (Kajian Pendidikan dan Ekonomi),http://jurnal.stkipbima.ac.id/index.php/PK,id,Indonesian,Education
4232,2614-7300,,JURNAL REDOKS (Jurnal Pendidikan Kimia dan Ilmu Kimia),http://jurnal.stkipbima.ac.id/index.php/RE,id,Indonesian,Engineering and Technology
4233,2599-1329,2685-3124,SUPERMAT (Jurnal Pendidikan Matematika),http://jurnal.stkipbima.ac.id/index.php/SM,id,Indonesian,Education
4234,2655-6804,2685-0532,PEDAGOGOS : Jurnal Pendidikan,http://jurnal.stkipbima.ac.id/index.php/gg,id,Indonesian,Medical and Health Sciences
4235,2461-1425,2685-1679,SINAU : Jurnal Ilmu Pendidikan dan Humaniora,http://jurnal.stkippadhaku.ac.id/index.php/sinau,id,Indonesian,Education
4236,2540-802X,,JPBIO (Jurnal Pendidikan Biologi),http://jurnal.stkippersada.ac.id/jurnal/index.php/JBIO,id,Indonesian,Medical and Health Sciences
4237,2655-0776,,Journal of English Educational Study (JEES),http://jurnal.stkippersada.ac.id/jurnal/index.php/JEES,en,English,"Language, Communication and Culture"
4238,2654-783X,,JURNAL PENDIDIKAN DASAR PERKHASA: Jurnal Penelitian Pendidikan Dasar,http://jurnal.stkippersada.ac.id/jurnal/index.php/JPDP,id,Indonesian,Education
4239,2541-0938,2657-1528,JURKAMI : Jurnal Pendidikan Ekonomi,http://jurnal.stkippersada.ac.id/jurnal/index.php/JPE,id,Indonesian,Economics
4240,2620-5300,,Jurnal Pengabdian Masyarakat Khatulistiwa,http://jurnal.stkippersada.ac.id/jurnal/index.php/JPMK,id,Indonesian,Biological Sciences
4241,2540-7996,,Jurnal KANSASI (Jurnal Pendidikan Bahasa dan Sastra Indonesia),http://jurnal.stkippersada.ac.id/jurnal/index.php/KAN,id,Indonesian,Education
4242,2621-4016,,DUNIA ANAK : Jurnal Pendidikan Anak Usia Dini,http://jurnal.stkippersada.ac.id/jurnal/index.php/PAUD,id,Indonesian,Education
4243,2540-8038,,JURNAL PEKAN : Jurnal Pendidikan Kewarganegaraan,http://jurnal.stkippersada.ac.id/jurnal/index.php/PEKAN,id,Indonesian,Studies in Human Society
4244,2086-4450,2580-1058,VOX EDUKASI: Jurnal Ilmiah Ilmu Pendidikan,http://jurnal.stkippersada.ac.id/jurnal/index.php/VOX,id,Indonesian,Education
4245,2684-7981,,J-PiMat : Jurnal Pendidikan Matematika,http://jurnal.stkippersada.ac.id/jurnal/index.php/jpimat,id,Indonesian,Psychology and Cognitive Sciences
4246,2722-9297,,JUTECH : Journal Education and Technology,http://jurnal.stkippersada.ac.id/jurnal/index.php/jutech,id,Indonesian,Information and Computing Sciences
4247,2685-841X,2715-0542,Adiguna: Jurnal Pengabdian dan Pemberdayaan Masyarakat,http://jurnal.stkippgribl.ac.id/index.php/adiguna,en,English,Education
4248,2684-9291,2686-1844,Ksatra: Jurnal Kajian Bahasa dan Sastra,http://jurnal.stkippgribl.ac.id/index.php/ksatra,en,English,Education
4249,1979-5823,2620-7672,Lentera: Jurnal Ilmiah Kependidikan,http://jurnal.stkippgribl.ac.id/index.php/lentera,en,English,Education
4250,2715-6125,2715-6133,Pedagogia: Jurnal Ilmiah Pendidikan Dasar Indonesia,http://jurnal.stkippgribl.ac.id/index.php/pedagogia,en,English,Education
4251,2722-5143,,J-PEMAS - Jurnal Pengabdian Masyarakat,http://jurnal.stmik-amik-riau.ac.id/index.php/J-PEMAS,id,Indonesian,Psychology and Cognitive Sciences
4252,2746-7821,,JAIA - Journal of Artificial Intelligence and Applications,http://jurnal.stmik-amik-riau.ac.id/index.php/JAIA,en,English,Information and Computing Sciences
4253,2460-0822,2527-9114,SATIN - Sains dan Teknologi Informasi,http://jurnal.stmik-amik-riau.ac.id/index.php/satin,id,Indonesian,Information and Computing Sciences
4254,2355-7494,2541-6316,JURNAL MANAJEMEN INFORMATIKA (JUMIKA),http://jurnal.stmik-dci.ac.id/index.php/jumika,id,Indonesian,Engineering and Technology
4255,2338-1477,2541-6375,JUTEKIN (Jurnal Teknik Informatika),http://jurnal.stmik-dci.ac.id/index.php/jutekin,id,Indonesian,Information and Computing Sciences
4256,2746-3524,,JISyCS (Journal Of Information System And Computer Science),http://jurnal.stmikmbcpalembang.ac.id/index.php/JISyCS,id,Indonesian,Engineering and Technology
4257,2301-4040,,PROPHETA,http://jurnal.stpsantopetruska.ac.id/index.php/ph,en,English,Studies in Human Society
4258,2656-2367,,Jurnal Gamaliel : Teologi Praktika,http://jurnal.stt-gamaliel.ac.id/index.php/gamaliel,id,Indonesian,"Language, Communication and Culture"
4259,2407-554X,2714-9587,Jurnal Teologi & Pelayanan Kerusso,http://jurnal.sttii-surabaya.ac.id/index.php/Kerusso,en,English,"Language, Communication and Culture"
4260,2621-8054,2622-1667,Journal DIDASKALIA,http://jurnal.sttii-surabaya.ac.id/index.php/didaskalia,en,English,Psychology and Cognitive Sciences
4261,2721-9356,,Jurnal KALA NEA,http://jurnal.sttimmanuelsintang.ac.id/index.php/sttis,en,English,Studies in Human Society
4262,2722-5992,,BONAFIDE: Jurnal Teologi dan Pendidikan Kristen,http://jurnal.sttissiau.ac.id/index.php/jbs,en,English,Philosophy and Religious Studies
4263,2745-7958,,BEMAS: Jurnal Bermasyarakat,http://jurnal.sttmcileungsi.ac.id/index.php/bemas,id,Indonesian,Information and Computing Sciences
4264,2722-9378,2722-9386,INFOTECH : Jurnal Informatika & Teknologi,http://jurnal.sttmcileungsi.ac.id/index.php/infotech,id,Indonesian,Studies in Human Society
4265,2722-4740,,JENIUS : Jurnal Terapan Teknik Industri,http://jurnal.sttmcileungsi.ac.id/index.php/jenius,id,Indonesian,Engineering and Technology
4266,2721-7825,,JTTM : Jurnal Terapan Teknik Mesin,http://jurnal.sttmcileungsi.ac.id/index.php/jttm,id,Indonesian,Engineering and Technology
4267,2087-3336,2721-4729,"TEKNOSAINS : Jurnal Sains, Teknologi dan Informatika",http://jurnal.sttmcileungsi.ac.id/index.php/tekno,id,Indonesian,Engineering and Technology
